NAMESPACE                             NAME                                                            READY   STATUS    RESTARTS        AGE
vertc-ops-d1                          vertc-ops-d1-front-5c6c5cdcd5-l525j                             1/1     Running   0               8d
vertc-ops-d1                          vertc-ops-d1-kafka-7f4cc8d996-5245r                             1/1     Running   0               7d3h
vertc-ops-d1                          vertc-ops-d1-rqschaduler-8666966549-cgf2h                       1/1     Running   0               8d
vertc-ops-d1                          vertc-ops-d1-worker-575c5d7cf4-zl2rr                            1/1     Running   2 (3h13m ago)   8d
vertc-ops-d1                          vertc-ops-d1-worker-kafka-cc75cbc68-sqk6n                       1/1     Running   2 (3h13m ago)   8d
vertc-ops-d1                          vertc-ops-d1-worker-notification-58d6bdbf-557jl                 1/1     Running   2 (3h13m ago)   8d
vertc-ops-d1                          vertc-ops-d1-worker-status-c86dc65bc-7dm6f                      1/1     Running   2 (3h13m ago)   8d
vertc-ops-d1                          vertc-ops-d1-worker-unitprice-fc59c755b-lwhz6                   1/1     Running   1 (3h13m ago)   7d3h
vertc-ops-d1                          vertc-ops-d1-worker-unitprice-fc59c755b-pth4s                   1/1     Running   2 (3h13m ago)   8d
vertc-ops-d1                          vertc-ops-d1-worker-unitprice-fc59c755b-r96rw                   1/1     Running   2 (3h12m ago)   8d
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-back-57b77d45c4-lhwp5                 1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-front-6574bcd5b6-4z4kr                1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-kafka-849f4c677f-s68zw                1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-rqschaduler-5ccccdf997-td6gl          1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-worker-64fd6588dd-6fsxs               1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-worker-kafka-59f766b8b6-r4mtk         1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-worker-notification-b56d76649-v2t6j   1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-worker-status-b7ddf9754-9q62r         1/1     Running   0               100m
vertc-ops-desenvolvimento             vertc-ops-desenvolvimento-worker-unitprice-57789b9bb7-pjxsl     1/1     Running   0               100m
vertc-ops-homologation                verctops-hml-app-785df7669b-q4s8h                               1/1     Running   0               24h
vertc-ops-homologation                verctops-hml-front-c7df57b66-6mmkl                              1/1     Running   0               24h
vertc-ops-homologation                verctops-worker-notification-684c5fd4f8-ghbgr                   1/1     Running   0               23h
vertc-ops-homologation                verctops-worker-status-546c9d885b-22f47                         1/1     Running   0               24h
vertc-ops-homologation                vertcops-kafka-746b6c6884-wbp2f                                 1/1     Running   0               24h
vertc-ops-homologation                vertcops-rqscheduler-574787b75-nqwts                            1/1     Running   0               24h
vertc-ops-homologation                vertcops-worker-8c5fc7d54-8sd44                                 1/1     Running   0               23h
vertc-ops-homologation                vertcops-worker-kafka-6845d5f6d6-twtfb                          1/1     Running   0               24h
vertc-ops-homologation                vertcops-worker-unitprice-85d8685df5-w2cx9                      1/1     Running   0               24h
vertc-ops-pre-release                 vertc-ops-pre-release-back-585b8d85d9-6sbbt                     1/1     Running   0               2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-front-5c8d8fbcb9-xntkf                    1/1     Running   0               2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-kafka-7c84c95f7-856v7                     1/1     Running   0               2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-rqschaduler-dd6d4db7b-7wfzk               1/1     Running   0               2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-worker-69c76bc9f-lc2n6                    1/1     Running   1 (3h13m ago)   2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-worker-kafka-5d97b5c9bf-fhvqh             1/1     Running   1 (3h13m ago)   23h
vertc-ops-pre-release                 vertc-ops-pre-release-worker-notification-76f69f969b-mhj4n      1/1     Running   1 (3h13m ago)   2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-worker-status-64f77bd7b5-jr77b            1/1     Running   1 (3h13m ago)   2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-worker-unitprice-67467f4c99-mr4px         1/1     Running   1 (3h12m ago)   2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-worker-unitprice-67467f4c99-r6pdr         1/1     Running   1 (3h13m ago)   2d5h
vertc-ops-pre-release                 vertc-ops-pre-release-worker-unitprice-67467f4c99-x26sj         1/1     Running   1 (3h13m ago)   23h
vertc-ops-quality-test                vertc-ops-quality-test-back-54688c854c-nfl7f                    1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-front-7f75459ddc-q7w2b                   1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-kafka-6cdb4b95c4-8nhgh                   1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-rqschaduler-85b7764d7-6q7b7              1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-worker-56644d568d-c6bbv                  1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-worker-kafka-bf54cdc97-dwlbm             1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-worker-notification-677f96cf98-zhp78     1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-worker-status-5fc65cb659-wmqhl           1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-worker-unitprice-859896df4d-9zj9q        1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-worker-unitprice-859896df4d-cvdcv        1/1     Running   0               115m
vertc-ops-quality-test                vertc-ops-quality-test-worker-unitprice-859896df4d-q5jn9        1/1     Running   0               115m
